Week_Start_Date,Rainfall_mm
2023-01-02,12
2023-01-09,15
2023-01-16,10
2023-01-23,5
2023-01-30,8
2023-02-06,18
2023-02-13,12
2023-02-20,22
2023-02-27,14
2023-03-06,30
2023-03-13,25
2023-03-20,28
2023-03-27,32
2023-04-03,45
2023-04-10,50
2023-04-17,55
2023-04-24,60
2023-05-01,70
2023-05-08,80
2023-05-15,75
2023-05-22,85
2023-05-29,90
2023-06-05,100
2023-06-12,110
2023-06-19,120
2023-06-26,95
2023-07-03,130
2023-07-10,125
2023-07-17,135
2023-07-24,140
2023-07-31,120
2023-08-07,110
2023-08-14,115
2023-08-21,105
2023-08-28,95
2023-09-04,90
2023-09-11,80
2023-09-18,75
2023-09-25,70
2023-10-02,60
2023-10-09,55
2023-10-16,50
2023-10-23,48
2023-10-30,40
2023-11-06,35
2023-11-13,30
2023-11-20,25
2023-11-27,20
2023-12-04,15
2023-12-11,12
2023-12-18,10
2023-12-25,8
2024-01-01,10
2024-01-08,14
2024-01-15,18
2024-01-22,16
2024-01-29,12
2024-02-05,20
2024-02-12,24
2024-02-19,26
2024-02-26,28
2024-03-04,35
2024-03-11,38
2024-03-18,42
2024-03-25,40
2024-04-01,50
2024-04-08,55
2024-04-15,60
2024-04-22,62
2024-04-29,65
2024-05-06,75
2024-05-13,85
2024-05-20,95
2024-05-27,100
2024-06-03,110
2024-06-10,120
2024-06-17,130
2024-06-24,125
2024-07-01,135
2024-07-08,140
2024-07-15,145
2024-07-22,150
2024-07-29,140
2024-08-05,130
2024-08-12,125
2024-08-19,120
2024-08-26,115
2024-09-02,100
2024-09-09,95
2024-09-16,85
2024-09-23,75
2024-09-30,70
2024-10-07,60
2024-10-14,55
2024-10-21,50
2024-10-28,45
2024-11-04,35
2024-11-11,30
2024-11-18,25
2024-11-25,20
2024-12-02,18
2024-12-09,15
2024-12-16,10
2024-12-23,8
2024-12-30,6
